cat,IPCMLULUCF
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,EDGAR42COMPI
tablename,KYOTOGHG_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
ISR,0.15,0.14833,0.14667,0.145,0.14332999999999999,0.14167000000000002,0.14,0.13833,0.13667,0.135,0.13333,0.13692000000000001,0.13545,0.13142,0.12942,0.12883,0.12825,0.12767,0.12,0.12262999999999999,0.12118
ITA,1.2265,1.0835,0.91122,0.9468799999999999,1.3565,0.8837299999999999,0.7093,0.7995800000000001,0.8042199999999999,0.52475,0.7044699999999999,0.64181,0.4903,0.70905,0.59229,0.54443,0.43675,0.4213,0.37222,0.3645,0.35159
JAM,0.08,0.081111,0.082222,0.083333,0.084444,0.085556,0.086667,0.087778,0.088889,0.09,0.091111,0.092222,0.093333,0.094444,0.09555599999999999,0.09666699999999999,0.097778,0.098889,0.1,0.10111,0.10222
JPN,8.993,8.004,10.8479,8.9005,7.9115,8.8388,6.8916,6.8608,5.9922,8.4018,6.4211,4.9782,4.9574,4.8768,4.9617,4.8801,4.7574,4.7748,4.6098,4.5803,4.5536
KAZ,31.1755,15.6026,15.6026,19.4957,15.6026,7.8164,58.4275,19.4957,6.4345,2.7191,5.2394,6.0714,12.418,7.1307,6.4431,5.2675,4.5542,3.7312,2.9037,1.4702,4.0093
KEN,2.0,2.1111,2.2222,2.3333,2.4444,2.5556,2.6667,2.7778,2.8889,3.0,3.1111,3.2222,3.3333,3.4444,3.5556,3.6667,3.7778,3.8889,4.0,4.1111,4.2222
KGZ,1.0667,0.74916,0.7475,0.8247899999999999,0.74416,0.5845899999999999,1.6094,0.81812,0.44918,0.43551000000000006,0.52837,0.44603999999999994,0.48923999999999995,0.47606000000000004,0.46108999999999994,0.45271000000000006,0.40833,0.40725,0.405,0.40333,0.40166999999999997
KHM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5602,3.5957,3.4609,7.3056,21.0072,19.0095,31.4566,34.9552,64.3288,206.7515,138.0265,107.3989,156.3068
KIR,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
KOR,0.032657,0.027493,0.042986,0.032657,0.027493,0.032657,0.022328999999999998,0.022328999999999998,0.012,0.015519,0.021906000000000002,0.020804,0.042876,0.015081,0.029993000000000002,0.026724,0.012965,0.012,0.012,0.015194999999999998,0.014141999999999998
LAO,18.9356,16.7176,25.1758,20.2478,17.5377,20.2478,14.8277,14.6636,69.2162,26.0945,14.0012,22.8923,22.4766,23.8618,62.2055,36.77,25.0332,20.9489,20.2876,22.2342,84.6762
LBN,0.003,0.0029833000000000004,0.0029666999999999996,0.00295,0.0029333000000000002,0.0029167,0.0029,0.0028833,0.0028667,0.00285,0.0028333000000000004,0.002925,0.0035854,0.003677,0.0040666,0.00275,0.0027333,0.0027167,0.0027,0.002909,0.0028773
LBR,0.16763,0.16064,0.1682,0.16751,0.16925,0.17535,0.1766,0.17931,0.15922999999999998,0.20549,0.20425,0.19854000000000002,0.28741,0.19958,0.18303,0.18967,0.21113,0.28944000000000003,0.28226999999999997,0.34654,0.36117
LBY,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.039777,0.042419,0.043182,0.037891,0.036226999999999995,0.037860000000000005,0.037318000000000004,0.037313,0.035299000000000004,0.035339999999999996
LIE,0.0094398,0.008131000000000001,0.0065382,0.0068929,0.010786,0.0063754,0.0047659,0.0056985,0.0038793,0.0013693,0.0018992999999999998,0.0014348,0.0015287,0.0015930999999999999,0.0014013,0.0015357,0.0014662000000000002,0.0014425999999999998,0.0014177,0.0013759,0.0013683
LKA,0.94432,0.9438799999999999,0.94344,0.94299,0.94255,0.9421,0.94166,0.94121,0.50026,0.47538,0.43306000000000006,0.40819,0.37982,0.35146,0.32658000000000004,0.29822,0.26986,0.25545,0.23756,0.23711,0.23667
LSO,0.14669000000000001,0.11863,0.19749,0.10262,0.1242,0.1286,0.10819000000000001,0.10304,0.22429000000000002,0.20025,0.36527,0.21509,0.13223,0.2815,0.11522,0.14311,0.062403999999999994,0.076744,0.064252,0.067362,0.077708
LTU,5.983,5.9762,5.9664,5.9773,6.0253,5.9857,5.9757,5.992000000000001,5.9547,6.0183,6.0048,6.0024,6.2177,6.0531,6.0306,6.0306,6.0307,6.0307,6.0307,6.0381,6.0454
LUX,0.031484,0.027339,0.022371000000000002,0.023236,0.034589999999999996,0.021196,0.01617,0.018568,0.013994999999999999,0.015569,0.019874,0.020659999999999998,0.022553999999999998,0.021696,0.02086,0.024442,0.025093999999999998,0.026452,0.027822000000000003,0.028955,0.030088
LVA,5.1395,5.0817,5.0237,4.968999999999999,4.9204,4.8583,4.8011,4.7482,4.7115,4.6828,4.6374,4.5812,5.4118,4.5054,4.4428,4.3298,4.3665,4.2856,4.205,4.1747,4.1445
MAR,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.029914999999999997,0.019053,0.028904000000000003,0.024305,0.037349,0.0175,0.018144,0.019747999999999998,0.037736,0.051226999999999995
MCO,0.0014955,0.0014889,0.0014835,0.0014934000000000002,0.0015279999999999998,0.0015044000000000001,0.0015003,0.0015134999999999999,0.0015262000000000001,0.0015173,0.0015239000000000001,0.0015548,0.0015607000000000002,0.0016139,0.0015699000000000002,0.001591,0.0015641,0.0015914000000000002,0.0016186,0.0016418,0.0016492999999999998
MDA,0.028218,0.02522,0.025081,0.025657,0.024804,0.023235,0.032389,0.025102,0.055853,0.10869000000000001,0.061489,0.20693000000000003,0.059507000000000004,0.035671,0.068268,0.09413099999999999,0.020278,0.023676,0.02,0.019861,0.019722
MDG,23.3902,19.9242,30.3146,18.4904,21.0937,21.2974,18.5293,17.7435,36.6131,34.1294,26.2577,29.6656,18.7101,26.9879,23.2056,33.999,15.612,14.4422,13.294,13.3967,13.475
MDV,0.004,0.0039778,0.0039556,0.0039333,0.0039111,0.0038889000000000003,0.0038667000000000003,0.0038444000000000004,0.0038222,0.0038,0.0037778,0.0037555999999999996,0.0037332999999999997,0.0037110999999999997,0.0036889,0.0036667,0.0036444000000000003,0.0036222000000000003,0.0036,0.0035778,0.0035556
MEX,39.881,51.4897,41.2386,49.0534,45.9364,45.7131,49.7304,39.2558,118.4117,48.2837,42.8202,46.0592,57.4059,59.5875,41.4948,53.4997,36.1152,30.7787,36.0878,33.5045,33.0876
MKD,0.10035,0.09348300000000001,0.08534800000000001,0.086194,0.10319,0.082079,0.073854,0.077057,0.069201,0.05625,0.16343,0.09086799999999999,0.067284,0.064597,0.070276,0.063848,0.06538200000000001,0.08680700000000001,0.06865800000000001,0.050638,0.051088999999999996
MLI,16.7275,13.4039,15.5426,14.4586,14.3838,15.949000000000002,15.5341,15.8288,15.4386,14.6764,12.7842,14.7454,12.2025,12.6433,12.395999999999999,15.4865,16.6126,26.3977,29.7631,23.6224,23.5358
MMR,815.2509,718.148,1088.2883,872.5844,753.9834,872.5844,635.3814,628.2167,623.9259999999999,807.4953,485.1958,766.7736,452.7273,443.6178,588.8432,411.5041,331.3547,309.1146,236.1192,239.7816,254.5097
MNE,0.038,0.038317000000000004,0.038633,0.03895,0.039267,0.039583,0.0399,0.040217,0.040533,0.04085,0.071622,0.041483,0.0418,0.042117,0.042433,0.04275,0.043067,0.043383,0.0437,0.044017,0.044333
MNG,33.0283,33.1797,36.0593,35.5282,35.6796,37.195,36.6643,37.4974,37.5114,38.1226,39.0462,39.7038,40.759,41.409,42.2055,42.8743,43.7448,44.5317,45.3187,46.1483,46.9703
MOZ,19.1103,16.4606,24.3703,15.3434,17.320999999999998,17.4787,15.3628,14.758,27.2165,36.3021,46.5112,29.7937,29.2114,30.2095,27.2532,38.5872,16.3567,15.9995,14.9589,14.9329,14.9812
MRT,0.12,0.12022000000000001,0.12044,0.12067,0.12089000000000001,0.12111,0.12133,0.12155999999999999,0.12178,0.122,0.12222000000000001,0.12244000000000001,0.12267,0.12289000000000001,0.12311,0.12333,0.12355999999999999,0.12378,0.124,0.12422000000000001,0.12444000000000001
