iso3,type_calc,type_orig,bl,bl_global_share,diff,tar_calc,tar_calc_ndc,tar_orig,tar_orig_ndc,refyr_emi_ssp,refyr_emi_ndc,diff_emi_refyr
NIU,0,0,0,0.0,0.0031000000000000055,ABU,ABU,baseline_emissions,NGT,,
NRU,0,0,0,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
TUV,0,0,0,0.0,0.0,RBY,RBY,RBY,RBY,0.0
SHN,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
VAT,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
ATA,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
TKL,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
PCN,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
GUY,-50,-50,-50,-0.1,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
ZWE,-63,-63,-54,-0.1,0.0,REI,REI,REI,REI,,
MDG,-69,-62,-56,-0.1,6.864065999999994,ABS,ABS,RBU,RBU,,
GAB,-113,-113,-68,-0.1,0.0,RBU,RBU,RBU,RBU,,
NAM,2,-191,-87,-0.2,-193.57313700000003,ABS,ABS,RBU,RBU,,
MLI,-85,-256,-169,-0.3,-170.877639,ABS,ABS,RBU,RBU,,
CAF,-173,-1822,-1734,-3.2,-1648.7856850000003,ABS,ABS,RBU,RBU,,
BES,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
BVT,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
CUW,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
IOT,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
MSR,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
SGS,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
SXM,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
UMI,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
