add_info,iso3,tar_type_used,tar_type_reclass,tar_type_main,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq
,SYC,RBU,ABS,ABU,conditional,best,,-21.4%,,,2025,2025,0.0,0.0,AR4,SSP2BLMESGB,0.5659266666666666,0.5659266666666666,,,Yes (not lulucf),1.0,1.0,94553.16666666669,94553.16666666669,2519471801.7578,2519471801.7578,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,SYC,RBU,ABS,ABU,conditional,best,,-29%,,,2030,2030,0.40180793333333326,-0.026029733333333305,AR4,SSP2BLMESGB,0.5659266666666666,0.5659266666666666,-0.42783766666666656,-0.42783766666666656,Yes (not lulucf),1.0,1.0,94553.16666666669,94553.16666666669,2519471801.7578,2519471801.7578,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,TCD,ABS,ABS,RBU,unconditional,best,40.83655 MtCO2eq_AR4,23.44907 MtCO2eq_AR4,,,2030,2030,40.83655,23.44907,AR4,SSP2BLMESGB,46.04685,46.04685,-17.38748,-17.38748,,0.9970937217410524,0.9970937217410524,20242966.6819,20242966.6819,45773328951.8335,45773328951.8335,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,
,TCD,ABS,ABS,RBU,conditional,best,32.64193 MtCO2eq_AR4,8.22945 MtCO2eq_AR4,,,2030,2030,32.64193,8.22945,AR4,SSP2BLMESGB,46.04685,46.04685,-17.38748,-17.38748,,0.9970937217410524,0.9970937217410524,20242966.6819,20242966.6819,45773328951.8335,45773328951.8335,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,
,TCD,ABU,ABS,RBU,unconditional,best,-5.2103 MtCO2eq_AR4,-5.2103 MtCO2eq_AR4,,,2030,2030,40.83655,23.449070000000003,AR4,SSP2BLMESGB,46.04685,46.04685,-17.38748,-17.38748,,0.9970937217410524,0.9970937217410524,20242966.6819,20242966.6819,45773328951.8335,45773328951.8335,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,
,TCD,ABU,ABS,RBU,conditional,best,-13.4049 MtCO2eq_AR4,-20.42992 MtCO2eq_AR4,,,2030,2030,32.64195,8.229450000000003,AR4,SSP2BLMESGB,46.04685,46.04685,-17.38748,-17.38748,,0.9970937217410524,0.9970937217410524,20242966.6819,20242966.6819,45773328951.8335,45773328951.8335,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,
,TCD,RBU,ABS,RBU,unconditional,best,-11.3%,-18.2%,,,2030,2030,40.84355595,20.278843300000002,AR4,SSP2BLMESGB,46.04685,46.04685,-17.38748,-17.38748,Yes (not lulucf),1.0,1.0,20242966.6819,20242966.6819,45773328951.8335,45773328951.8335,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,
,TCD,RBU,ABS,RBU,conditional,best,-29.1%,-71%,,,2030,2030,32.64721665,-4.033893499999998,AR4,SSP2BLMESGB,46.04685,46.04685,-17.38748,-17.38748,Yes (not lulucf),1.0,1.0,20242966.6819,20242966.6819,45773328951.8335,45773328951.8335,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,
,TGO,ABS,ABS,RBU,unconditional,best,,34.53328 MtCO2eq_SAR,,,2030,2030,10.80728457089835,35.47427397309824,AR4,SSP2BLMESGB,15.2533,15.2533,24.666989402199892,24.666989402199892,,0.9141993796091896,0.9141993796091896,9424183.3035,9424183.3035,23737129395.2902,23737129395.2902,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,
,TGO,ABS,ABS,RBU,conditional,best,,27.62662 MtCO2eq_SAR,,,2030,2030,3.712425667283096,28.379415069482988,AR4,SSP2BLMESGB,15.2533,15.2533,24.666989402199892,24.666989402199892,,0.9141993796091896,0.9141993796091896,9424183.3035,9424183.3035,23737129395.2902,23737129395.2902,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,
